id,title,description,rich_text_description,availability,condition,price,link,image_link,brand,additional_image_link,age_group,color,gender,item_group_id,google_product_category,product_type,sale_price,sale_price_effective_date,size,status,quantity_to_sell_on_facebook
Digital_latex_1,Latex Tool,Konversi persamaan ilmiah menjadi latex dengan lebih mudah.,"<p>Konversi <em>persamaan ilmiah</em> menjadi <em>LaTeX</em> dengan lebih mudah.</p>",in stock,new,10000 IDR,https://jwt.ibaraasro.repl.co/,https://jwt.ibaraasro.repl.co/static/images/prototype.png,Ibnu AP,,,,,digital_latex,Software > Computer Software,electronics > software,,,,published,999
Digital_web_1,Pembuatan Website,Pembuatan website mulai dari landing page hingga e-commerce siap kami layani.,"<p><em>Pembuatan website</em> mulai dari <em>landing page</em> hingga <em>e-commerce custom</em> siap kami layani.</p>",in stock,new,100000 IDR,https://github.com/Ibara99/freecodecamp_projects/,https://raw.githubusercontent.com/Ibara99/freecodecamp_projects/master/resources/RWA_1.png,Ibnu AP,,,,,digital_web,Software > Computer Software,electronics > software,,,,published,999
Digital_web_2,Automasi Pekerjaan,Pembuatan sistem automasi seperti scraping.,"<p>Pembuatan sistem automasi seperti <em>scraping</em>.</p>",in stock,new,100000 IDR,https://github.com/Ibara99/freecodecamp_projects/,https://raw.githubusercontent.com/Ibara99/freecodecamp_projects/master/resources/Microservice_5.png,Ibnu AP,,,,,digital_web,Software > Computer Software,electronics > software,,,,published,999
Digital_web_3,Analisa Data,Butuh menganalisa data? Hubungi kami.,"<p>Butuh menganalisa data? <em>Hubungi kami</em>.</p>",in stock,new,100000 IDR,https://github.com/Ibara99/freecodecamp_projects/,https://raw.githubusercontent.com/Ibara99/freecodecamp_projects/master/resources/Microservice_1.png,Ibnu AP,,,,,digital_web,Software > Computer Software,electronics > software,,,,published,999
